forecast_0
-404.77973540252685
-415.1562337440872
-417.57012231773376
-421.8027094168091
-438.44753535217285
-418.72976191467285
-420.9280021948242
-400.6111715597534
-419.23233588165283
-407.01432164138794
-403.09918864196777
-411.39202292388916
-407.3614066404724
-415.22323735183716
-421.2717250151062
-411.63227088874817
-415.96591337150574
-425.88210566467285
-407.1172321600342
-413.5375193071985
-415.2830618185425
-414.1257197422409
-410.5153394503021
-405.93616898483276
-418.85671408599853
-397.9555204672241
-410.54586227363586
-401.5948961538696
-394.60541994995117
-417.57797010368347
