forecast_0
-408.0355699819946
-409.6248296064758
-406.20145733779907
-419.39145501083374
-407.0961035055542
-409.22344286865234
-412.46543176597595
-417.7279179853821
-415.17547614997864
-413.8336279851818
-419.5333693785095
-422.443020657959
-404.17378313964844
-418.79158099121094
-408.4486172956848
-416.9722955984497
-406.0393889707947
-407.1900690359497
-413.4116418523216
-413.21168179935455
-419.6417749685669
-415.9147768778229
-406.3030322355652
-407.94653828567505
-404.4163568777466
-403.20984061187744
-404.8378217977905
-413.30666343993187
-415.40581114715576
-421.74615462249756
